company_id,supplier_team_access_count,supplier_brand_count,supplier_rrp_average,supplier_login_count,supplier_retailer_submissions_count,supplier_shares_count,buyers_popularity_score,buyers_average_time_on_profile_in_seconds,company_state,company_years_trading,upgraded
1,1,1,47,95,0,237,1,457,11,1-2,1
2,2,1,11,11,0,27,2,242,39,3-5,0
3,1,1,38,44,2,108,1,379,38,6-10,1
4,1,1,6,22,0,54,0,528,15,0-1,0
5,1,1,17,4,0,9,0,105,5,1-2,0
6,1,1,394,15,0,36,1,227,5,3-5,0
7,1,1,92,354,32,885,3,313,5,15+,1
8,1,1,3,6,0,15,0,292,6,0-1,0
9,1,1,11,4,0,9,0,0,45,15+,0
10,1,1,54,29,2,72,1,366,5,6-10,1
11,7,1,8,8,0,18,0,24,37,0-1,0
12,2,1,30,4,0,9,0,462,46,0-1,0
13,2,1,150,6,0,15,0,0,48,0-1,0
14,1,1,22,116,66,288,9,367,5,15+,1
15,1,1,14,5,0,12,2,60,6,1-2,0
16,1,1,13,14,0,33,0,0,28,0-1,0
17,1,1,6,161,0,402,2,366,39,15+,0
18,1,2,3,124,56,309,4,459,2,15+,1
19,1,1,21,26,0,63,0,0,20,0-1,0
20,1,1,7,45,0,111,5,157,5,1-2,0
21,2,1,26,23,0,57,0,0,5,3-5,0
22,1,1,11,11,0,27,3,36,35,6-10,0
23,1,1,13,35,0,87,0,331,11,1-2,0
24,1,1,103,6,0,15,1,424,20,6-10,0
25,1,1,14,182,0,453,6,442,4,10-15,0
26,1,1,174,4,0,9,0,262,5,3-5,0
27,2,1,30,3,0,6,0,528,5,3-5,0
28,2,1,9,3,0,6,0,0,5,0-1,0
29,1,1,7,9,0,21,0,253,20,0-1,0
30,2,1,22,9,0,21,0,259,5,15+,0
31,1,1,240,2,0,3,0,0,25,6-10,0
32,2,1,3,36,0,90,0,560,21,15+,0
33,2,1,5,8,0,18,2,477,9,1-2,0
34,7,1,18,12,0,30,0,85,10,1-2,0
35,2,1,4,6,0,15,2,289,5,3-5,1
36,1,1,36,11,0,27,0,0,23,3-5,0
37,1,1,10,65,0,162,1,408,35,15+,0
38,1,1,9,16,2,39,0,373,10,3-5,1
39,1,1,12,308,204,768,18,457,2,3-5,1
40,1,1,108,6,0,15,0,0,35,6-10,0
41,1,1,18,10,0,24,0,210,31,1-2,0
42,2,1,8,22,2,54,0,409,4,3-5,1
43,2,1,20,12,0,30,0,0,10,0-1,0
44,1,1,20,11,0,27,0,0,15,3-5,0
45,1,1,24,3,0,6,0,0,35,0-1,0
46,2,1,9,27,0,66,0,178,48,1-2,0
47,1,1,30,33,0,81,1,379,6,1-2,0
48,1,1,1,3,0,6,0,0,4,15+,0
49,1,1,22,17,0,42,0,185,38,3-5,0
50,1,1,11,75,0,186,2,531,35,1-2,0
51,1,1,149,222,72,555,1,578,10,1-2,1
52,1,1,12,4,0,9,1,0,10,1-2,0
53,2,1,6,11,0,27,1,250,35,6-10,0
54,2,1,5,3,0,6,0,0,36,3-5,0
55,2,1,296,15,0,36,0,0,35,0-1,0
56,2,1,13,33,2,81,1,358,6,15+,1
57,1,1,6,71,0,177,3,38,20,1-2,0
58,1,1,10,441,8,1101,9,407,5,3-5,1
59,1,1,65,46,0,114,0,0,3,1-2,0
60,2,1,12,15,0,36,2,68,15,1-2,0
61,2,1,27,426,26,1065,6,307,23,1-2,1
62,1,1,10,14,0,33,0,130,10,1-2,0
63,2,1,2,4,0,9,0,0,35,15+,0
64,7,1,36,3,0,6,0,0,45,0-1,0
65,1,1,4,20,0,48,0,84,33,0-1,0
66,2,1,54,40,0,99,0,425,5,15+,0
67,1,1,12,8,0,18,0,0,21,1-2,0
68,1,1,19,18,0,45,1,251,25,0-1,0
69,2,1,75,14,0,33,1,186,5,3-5,0
70,1,1,43,5,0,12,0,0,10,1-2,0
71,1,1,54,5,0,12,0,0,3,0-1,0
72,2,1,36,15,0,36,0,429,5,0-1,0
73,2,1,10,30,0,75,1,209,32,1-2,0
74,7,1,7,29,0,72,0,452,10,0-1,1
75,2,2,247,503,0,1257,1,542,5,3-5,1
76,2,1,8,2,0,3,0,0,5,15+,0
77,1,1,16,17,0,42,0,569,11,0-1,0
78,1,1,6,20,0,48,0,121,42,15+,0
79,1,1,0,5,0,12,0,0,11,15+,0
80,1,1,13,5,0,12,0,0,21,6-10,0
81,1,1,101,12,0,30,0,0,48,15+,0
82,1,1,13,39,0,96,1,85,10,10-15,0
83,1,3,72,57,0,141,1,236,28,3-5,0
84,1,1,5,3,4,6,0,0,10,3-5,1
85,1,1,7,261,4,651,10,412,5,15+,1
86,2,1,30,59,0,147,1,364,5,10-15,1
87,1,1,16,12,0,30,0,0,10,6-10,0
88,2,1,18,4,0,9,0,0,25,15+,0
89,7,1,15,14,0,33,0,0,10,15+,0
90,2,1,5,4,0,9,0,44,11,10-15,0
91,1,1,54,26,0,63,1,0,5,0-1,0
92,1,1,122,20,0,48,1,409,44,10-15,0
93,2,1,30,5,0,12,0,11,44,10-15,0
94,1,1,7,27,0,66,0,154,43,0-1,0
95,1,1,16,4,2,9,0,353,35,6-10,1
96,1,1,15,3458,292,8643,6,501,11,0-1,1
97,7,1,12,15,0,36,0,0,23,1-2,0
98,1,1,44,57,0,141,1,509,10,15+,0
99,2,1,39,347,0,867,3,461,20,1-2,0
100,7,1,5,124,64,309,15,371,32,6-10,1
101,2,1,54,3,0,6,0,489,38,1-2,0
102,1,1,11,15,0,36,1,443,11,15+,0
103,2,1,42,14,0,33,0,477,5,3-5,0
104,2,1,33,93,0,231,3,379,5,1-2,0
105,2,1,5,14,0,33,2,317,44,3-5,0
106,2,1,12,63,74,156,2,284,47,6-10,1
